IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
VLADISLAVA,KOBIETA,312
ELIF,KOBIETA,311
TAL,KOBIETA,310
BLANCA,KOBIETA,307
AŁŁA,KOBIETA,304
KARMEN,KOBIETA,304
REBEKA,KOBIETA,304
RADA,KOBIETA,302
DEBORAH,KOBIETA,301
ANI,KOBIETA,300
DANIELLE,KOBIETA,300
VIYALETA,KOBIETA,300
YVONNE,KOBIETA,299
SUSANA,KOBIETA,298
LUDMYLA,KOBIETA,297
VIVIAN,KOBIETA,297
AMALIIA,KOBIETA,295
SZARLOTA,KOBIETA,293
KATRIN,KOBIETA,291
DORIS,KOBIETA,290
GABRIELLE,KOBIETA,290
SWITŁANA,KOBIETA,290
AVA,KOBIETA,289
MIHAELA,KOBIETA,289
SCARLETT,KOBIETA,289
PAULINE,KOBIETA,288
LEONORA,KOBIETA,287
NELI,KOBIETA,287
ADAMINA,KOBIETA,286
SCHOLASTYKA,KOBIETA,285
KRISTINE,KOBIETA,284
JOSEPHINE,KOBIETA,283
WERA,KOBIETA,282
JENNY,KOBIETA,281
SALMA,KOBIETA,280
YUVAL,KOBIETA,280
ILZA,KOBIETA,279
DENISA,KOBIETA,278
KARLA,KOBIETA,277
